Gemeente;Straat;Datum;Tijd_cleaned;Tijd;Nr.;Hecto;Kruispunt met;Info;Best.1;Leeft.1;Gesl.1;Best.2;Leeft.2;Gesl.2;Best.3;Leeft.3;Gesl.3;Best.4;Leeft.4;Gesl.4;Ongevalsfactoren;Type aanrijding;Gevolg;PV nr.;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Ophovenstraat;14/12/2005;0925;09u25;171;;;;auto;10_20;vr;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;TG.91.L7.200359/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Opstraat;12/11/2005;0430;04u30;;;Breekiezel;;(brom)fiets;31_40;ml;;;;;;;;;;zicht gehinderd;tegen hindernis op de rijbaan;gewond;TG.81.L7.200355/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Pastoriestraat;9/12/2005;2355;23u55;2;;;;auto;21_30;ml;;;;;;;;;;zicht belemmerd;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Peerderbaan;4/08/2005;1650;16u50;45;;;;auto;41_50;ml;(brom)fiets;41_50;vr;;;;;;;onjuiste plaats op de rijbaan;langs opzij;gewond;TG.81.L7.200222/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Peerderbaan;13/04/2005;1750;17u50;52;;;;auto;41_50;ml;auto;21_30;ml;;;;;;;te weinig afstand;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Peerderbaan;21/11/2005;1705;17u05;70;;;;auto;10_20;ml;traag vervoer;41_50;ml;;;;;;;geen voorrang  ;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Peerderbaan;17/04/2005;0120;01u20;1;;;;auto;31_40;ml;auto;41_50;vr;;;;;;;onverantwoord rijgedrag;langs achteren;schade;TG.91.L7.200113/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Peerderbaan;15/11/2005;1205;12u05;52;;;;vrachtwagen;41_50;ml;lichte vracht;41_50;ml;;;;;;;onjuiste plaats op de rijbaan;bij kruisen (spiegels);schade;TG.91.L7.200331/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Plockroy;14/06/2005;1730;17u30;;;Vliegeneinde;;auto;31_40;ml;moto;51_60;ml;;;;;;;onoplettend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Populierenstraat;22/04/2005;1525;15u25;;;;;(brom)fiets;31_40;ml;;;;;;;;;;te weinig afstand;langs opzij;gewond;TG.81.L7.200120/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Roesstraat;30/11/2005;2100;21u00;1;;;;auto;60+;ml;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Roesstraat;9/03/2005;1915;19u15;28;;;;auto;10_20;ml;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Roesstraat;16/08/2005;1835;18u35;;;;thv talud;auto;41_50;ml;auto;41_50;ml;;;;;;;geen voorrang;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Roesstraat;26/08/2005;0230;02u30;;;;parking café Dennewoud;auto;41_50;ml;;;;;;;;;;onverantwoord rijgedrag;tegen geparkeerd voertuig;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;28/12/2005;1325;13u25;;;Venstraat;;vrachtwagen;41_50;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Soetebeek;14/12/2005;;;23;;;de frietboetiek;auto;21_30;ml;lichte vracht;31_40;ml;auto;21_30;vr;;;;onoplettend;langs achteren;schade;TG.91.L7.200360/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Soetebeek;5/10/2005;1650;16u50;;;;;moto;onb;ml;;;;;;;;;;onbekend;geen - gevallen;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Sparstraat;13/05/2005;1130;11u30;;;;parking Spar;vrachtwagen;31_40;ml;auto;60+;ml;;;;;;;onjuiste plaats op de rijbaan;tegen hindernis op de rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Taelstraat;15/03/2005;1400;14u00;;;Opstraat;;(brom)fiets;51_60;ml;auto;onb;onb;;;;;;;onjuiste plaats op de rijbaan;geen - gevallen;gewond;TG.81.L7.200076/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Torenstraat;31/10/2005;0845;08u45;;;;parking;onbekend;onb;onb;;;;;;;;;;onbekend;tegen geparkeerd voertuig;schade;TG.91.L7.200319/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Turfstraat;30/06/2005;1530;15u30;13;;;;lichte vracht;onb;onb;;;;;;;;;;tijdens manouvreren/parkeren;tegen geparkeerd voertuig;schade;TG.91.L7.200188/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Vliegeneinde;20/06/2005;2215;22u15;17;;;;(brom)fiets;51_60;vr;(brom)fiets;onb;ml;;;;;;;tijdens manouvreren/parkeren;geen - gevallen;gewond;TG.81.L7.200175/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar As;16/03/2005;0907;09u07;112;;;bocht;auto;10_20;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200077/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar As;19/12/2005;1935;19u35;71;;;;auto;10_20;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200367/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar As;23/09/2005;0355;03u55;;34 900;;;auto;21_30;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200270/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar As;2/11/2005;0830;08u30;122;;;;vrachtwagen;41_50;ml;auto;41_50;vr;vrachtwagen;60+;ml;;;;te weinig afstand;bij kruisen (spiegels);schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar As;22/12/2005;2140;21u40;;;;;auto;41_50;ml;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar As;5/03/2005;1140;11u40;;;;bocht;onbekend;onb;onb;;;;;;;;;;onbekend;tegen hindernis buiten rijbaan;schade;TG.91.L7.200066/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar As;28/12/2005;1135;11u35;10;;;;auto;21_30;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar As;23/08/2005;;;31;;;;auto;41_50;ml;auto;41_50;ml;;;;;;;fout inhalen;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr Ellikom;8/06/2005;1300;13u00;;;Hellestraat;;(brom)fiets;41_50;ml;(brom)fiets;51_60;ml;;;;;;;onjuiste plaats op de rijbaan;frontaal;gewond;TG.81.L7.200166/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr Ellikom;5/04/2005;;;219;;;scherpe bocht;auto;onb;onb;;;;;;;;;;onbekend;tegen hindernis buiten rijbaan;schade;TG.91.L7.200097/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr Helchteren;28/06/2005;0110;01u10;12;;;;auto;21_30;ml;;;;;;;;;;onverantwoord inhalen;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200187/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr Helchteren;1/07/2005;0315;03u15;34;18 900;;;auto;onb;onb;traag vervoer;21_30;ml;;;;;;;onjuiste plaats op de rijbaan;frontaal;schade;TG.91.L7.200189/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr Helchteren;6/07/2005;1710;17u10;;;;;lichte vracht;21_30;ml;auto;41_50;vr;;;;;;;onbekend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr Helchteren;5/08/2005;1745;17u45;;;;;lichte vracht;31_40;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr Helchteren;21/09/2005;0755;07u55;61;;Hensemstraat;;auto;41_50;ml;auto;21_30;vr;;;;;;;foutief inhalen;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr Helchteren;6/12/2005;1400;14u00;;;;;auto;41_50;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opitter;10/12/2005;0105;01u05;;;;;(brom)fiets;41_50;ml;auto;onb;onb;;;;;;;onbekend;langs achteren;gewond;TG.81.L7.200357/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;4/10/2005;1820;18u20;21;12 600;;;lichte vracht;31_40;vr;auto;60+;ml;lichte vracht;41_50;ml;;;;onoplettend;langs achteren;gewond;TG.81.L7.200285/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;8/05/2005;1505;15u05;;;Weg naar Opitter;;auto;51_60;ml;auto;41_50;ml;auto;21_30;ml;;;;onoplettend;langs achteren;gewond;TG.81.L7.200138/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;19/01/2005;0650;06u50;;12 300;Opstraat;;lichte vracht;31_40;vr;auto;41_50;ml;auto;31_40;vr;;;;onjuiste plaats op de rijbaan;frontaal;gewond;TG.81.L7.200012/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;17/12/2005;0339;03u39;;9 000;;;auto;21_30;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200363/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;18/03/2005;0725;07u25;;;Weg naar As;;auto;60+;ml;(brom)fiets;41_50;vr;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200080/2005;;;;;;;;;;;;;;;;;
